RANK,AZIENDA,TASSO DI CRESCITA,RICAVI 2018,RICAVI 2021,SETTORE,REGIONE,PRESENZE,SITO WEB
1,WeCo S.r.l.,433.072,409,61883,Produzione industriale,Toscana,,https://wecobatteries.com
2,China Investment S.p.A.,388.997,131,15318,Costruzione e ingegneria,Lombardia,,https://www.china-investment.it
3,illimity Bank S.p.A.,353.894,2900,271184,"Fintech, servizi finanziari e assicurazioni",Lombardia,,https://www.illimity.com
4,Elettrosmart S.r.l.,325.006,640,49160,Commercio all'ingrosso,Campania,,n/a
5,DOTX S.r.l. (Senso),260.635,379,17757,IT e software,Lombardia,,https://senso.it
6,Dante Labs S.r.l.,250.461,1211,52110,"Prodotti farmaceutici, biotecnologie e scienze della vita",Abruzzo,,https://dantegenomics.com
7,Boolean S.r.l.,231.002,102,3689,Formazione,Lombardia,,https://boolean.careers
8,Baroni S.r.l. (Baroni Home),195.242,151,3893,E-commerce,Toscana,,https://baronihome.it
9,Renavitas S.r.l.,192.873,172,4328,Costruzione e ingegneria,Emilia-Romagna,,http://www.renavitas.it
10,Tate S.r.l.,190.13,191,4667,Energia e servizi pubblici,Emilia-Romagna,,https://tate.it
11,Edilenergia S.r.l.,180.25,238,5241,Costruzione e ingegneria,Abruzzo,,https://www.edilenergiasrl.it
12,Salabam S.r.l. (Salabam - VadoBay - Vivamod),177.916,229,4914,Ospitalità e viaggi,Emilia-Romagna,,https://www.salabam.com
13,Babylon Cloud S.p.A.,177.48,108,2305,IT e software,Lazio,,https://www.babyloncloud.com
14,Sportit S.r.l. (snowit),174.749,433,8975,Tempo libero e divertimento,Lombardia,,https://snowitexperience.com
15,Archingest S.r.l.,172.269,2165,43697,Costruzione e ingegneria,Piemonte,,https://archingest.it
16,Main Solution S.r.l.,168.547,1720,33311,Energia e servizi pubblici,Calabria,,https://www.mainsolution.eu
17,Roadlink S.r.l.,157.88,221,3784,Produzione industriale,Lombardia,,https://www.roadlink.it
18,myAppFree S.p.A.,155.754,979,16383,Pubblicità e marketing,Emilia-Romagna,,https://myappfree.com
19,Alternativa Impianti S.r.l.,154.159,152,2502,Costruzione e ingegneria,Toscana,,https://alternativaimpianti.com
20,Lhub S.r.l.,148.697,100,1546,Pubblicità e marketing,Lombardia,,https://lhubagency.com
21,Business Innovation Lab S.p.A. (Opyn),146.414,1151,17225,"Fintech, servizi finanziari e assicurazioni",Lombardia,,https://www.opyn.eu
22,Ironcut S.r.l.,141.897,239,3387,Produzione industriale,Piemonte,,http://www.ironcut.it
23,Credimi S.p.A.,140.701,1166,16256,"Fintech, servizi finanziari e assicurazioni",Lombardia,,https://www.credimi.com
24,Pinsalab S.r.l. (Pinsami),139.322,726,9957,Cibo e bevande,Emilia-Romagna,,https://www.pinsami.it
25,Winelivery S.r.l.,134.477,693,8931,E-commerce,Lombardia,,https://www.winelivery.com
26,Renovars Real Estate S.r.l.,128.563,182,2172,Beni immobili,Lazio,,https://facileimmobiliare.it
27,Tantosvago S.r.l.,127.062,1207,14128,Ospitalità e viaggi,Lombardia,,https://www.tantosvago.it
28,Taste S.r.l. (Vinhood),123.589,188,2102,IT e software,Lombardia,,https://vinhood.com
29,Ledworks S.r.l. (Twinkly),119.583,3382,35806,Vendita al dettaglio,Lombardia,,https://www.twinkly.com
30,Suncity S.r.l.,117.451,1401,14406,Energia e servizi pubblici,Abruzzo,,https://www.suncityitalia.com
31,Great Building S.r.l.,114.713,203,2006,Costruzione e ingegneria,Lazio,,https://www.greatbuilding.it
32,Treedom S.r.l. SB,113.077,1321,12780,E-commerce,Toscana,,https://www.treedom.net
33,NexumStp S.p.A.,112.014,4450,42409,Consulenza gestionale,Lazio,,http://nexumstp.it
34,MPFinance S.r.l.,111.355,1240,11709,Costruzione e ingegneria,Sardegna,,https://www.mpfinance.it
35,O.T.E. Energia Rinnovabile S.r.l.,109.465,394,3618,Energia e servizi pubblici,Emilia-Romagna,,http://www.otesrl.it
36,Spin Up S.r.l.,107.236,856,7614,Pubblicità e marketing,Campania,,https://spin-up.it
37,Studio Eko' S.r.l.,106.306,455,3996,Costruzione e ingegneria,Molise,,https://www.studioeko.biz
38,I'mprinting S.r.l.,105.531,1334,11581,IT e software,Lazio,,https://www.imprinting.info
39,Carlini Signal S.r.l.,104.441,459,3920,Produzione industriale,Lazio,,https://carlinisignal.com
40,Politecna Europa S.r.l.,102.242,306,2532,Costruzione e ingegneria,Piemonte,,https://www.politecna-europa.com
41,Aulab S.r.l.,102.114,197,1625,Formazione,Puglia,,https://aulab.it
42,Everli S.p.A.,102.007,13890,114502,E-commerce,Lombardia,,https://it.everli.com
43,Contrader S.r.l.,101.613,1324,10854,IT e software,Campania,,https://contrader.it
44,Arcadia Italia S.r.l.,100.805,1191,9647,Energia e servizi pubblici,Lazio,,https://www.arcadia-italia.com
45,Comservice S.r.l.,100.54,346,2792,"Servizi professionali, scientifici e tecnici",Lombardia,,https://www.comservice.uno
46,Essegi S.r.l.,97.292,2345,18012,Commercio all'ingrosso,Toscana,,https://www.essegi.srl
47,Esserre Pharma S.r.l.,96.837,520,3964,"Prodotti farmaceutici, biotecnologie e scienze della vita",Lazio,,https://www.esserrepharma.com
48,Edu Group S.r.l.,96.271,4074,30807,IT e software,Lombardia,,https://www.edugroup.it
49,Imprendiroma S.p.A.,95.491,2745,20510,Costruzione e ingegneria,Lazio,,https://www.imprendiroma.it
50,Diatek S.r.l.,94.985,2054,15226,"Prodotti farmaceutici, biotecnologie e scienze della vita",Puglia,,http://www.diatek.it
51,Teicos Ue S.r.l.,94.635,3287,24239,Costruzione e ingegneria,Lombardia,,https://www.teicosgroup.com
52,Riviera Motori S.r.l.,93.985,314,2290,Automotive,Veneto,,https://www.rivieramotori.it
53,BPower energia S.r.l.,92.432,843,6008,Energia e servizi pubblici,Sicilia,,https://www.bpowerenergia.it
54,CheTariffa.it S.r.l.,88.97,366,2472,Energia e servizi pubblici,Piemonte,,https://chetariffa.it
55,Gyada Cosmetics S.r.l.,88.962,573,3867,Vendita al dettaglio,Sicilia,,https://gyadacosmetics.com
56,Isoclean S.r.l.,87.64,1134,7494,Servizi sanitari e sociali,Abruzzo,,https://www.isoclean.it
57,Isoterma S.r.l.,87.036,4665,30524,Costruzione e ingegneria,Lombardia,,https://www.isoterma.it
58,Digital Attitude S.r.l. SB,86.912,288,1880,IT e software,Lombardia,,https://habitinspiringplatform.com
59,C&C Hub International Company S.r.l. (Clarissa Cosmetics),85.694,304,1949,Vendita al dettaglio,Lazio,,https://www.clarissacosmetics.com
60,Ideal Ceramiche di Giacomo La Russa S.r.l. (Tattahome),85.523,874,5582,E-commerce,Sicilia,,https://www.tattahome.com
61,Sbamm S.r.l. (Babylino Sensitive),83.711,594,3685,E-commerce,Abruzzo,,https://www.babylinoshop.com
62,Enesco S.r.l.,83.594,5400,33415,Energia e servizi pubblici,Abruzzo,,https://www.enesco.it
63,Agrisole S.r.l.,82.8,5028,30714,Commercio all'ingrosso,Basilicata,,n/a
64,BizAway S.r.l. SB,82.736,1329,8108,Ospitalità e viaggi,Friuli-Venezia Giulia,,https://bizaway.com
65,Podium Engineering S.r.l. (Podium Advanced Technologies),82.614,4778,29099,Automotive,Valle d'Aosta,,https://www.podium-tech.com
66,Innonation S.r.l.,82.539,301,1828,IT e software,Sicilia,,https://www.innonation.it
67,save NRG S.r.l.,81.659,921,5519,Energia e servizi pubblici,Lombardia,,https://www.savenrg.it
68,Consorzio Blu Soc. Coop Sociale,81.282,9703,57804,Servizi sanitari e sociali,Emilia-Romagna,,https://www.consorzioblu.it
69,Marfreight S.r.l.,81.206,2597,15452,Logistica e trasporto,Campania,,https://www.marfreight.com
70,Enerfin S.r.l.,81.013,8057,47788,Energia e servizi pubblici,Lazio,,https://www.enerfin.it
71,InfinityHub S.p.A. SB,80.967,704,4172,Energia e servizi pubblici,Veneto,,https://www.infinityhub.it
72,Revo Costruzioni S.r.l.,80.533,955,5621,Costruzione e ingegneria,Lombardia,,https://www.revocostruzioni.com
73,Citrusmade S.r.l.,79.838,1871,10883,Cibo e bevande,Sicilia,,https://www.citrusmade.it
74,Lacertosus S.r.l.,79.59,2370,13727,E-commerce,Emilia-Romagna,,https://www.lacertosus.com
75,Hyntelo S.r.l.,77.619,1142,6399,IT e software,Lazio,,https://www.hyntelo.com
76,Iocoli S.r.l.,77.518,604,3377,Costruzione e ingegneria,Basilicata,,http://www.iocoli.com
77,Energetic Efficiency S.r.l.,77.379,760,4239,Energia e servizi pubblici,Sicilia,,https://energeticefficiency.com
78,Arredamenti Goti S.r.l.,76.267,393,2154,Arredamento,Toscana,,https://www.arredamentigoti.com
79,Qapla S.r.l.,76.165,285,1561,IT e software,Toscana,,https://www.qapla.it
80,Officine Mak S.r.l.,75.716,6536,35461,Beni immobili,Lombardia,,https://www.officinemak.it
81,Corporate and Finance S.r.l. (Credit Specialist),75.31,357,1922,"Fintech, servizi finanziari e assicurazioni",Lombardia,,https://www.creditspecialist.it
82,Master Group S.r.l.,74.793,1268,6770,Media e telecomunicazioni,Puglia,,https://master-dealer.it
83,Gemco S.r.l.,74.62,739,3936,Costruzione e ingegneria,Emilia-Romagna,,https://gemco2.webnode.page
84,Edil Panteghini S.r.l.s.,74.171,644,3403,Costruzione e ingegneria,Lombardia,,https://www.edilpanteghini.it
85,Evolution Adv S.r.l. (Evolution Group),74.14,3445,18194,Pubblicità e marketing,Lazio,,https://evolutiongroup.digital
86,Storeis S.r.l.,73.728,482,2528,Pubblicità e marketing,Veneto,,https://store.is
87,Prometeo S.r.l.,73.336,1234,6426,"Servizi professionali, scientifici e tecnici",Puglia,,https://prometeotlc.it
88,EcoTek S.r.l.,72.628,2765,14224,Energia e servizi pubblici,Lombardia,,https://eco-tek.it/
89,Brio Group Soc. Coop. Consortile a r.l.,71.338,6844,34424,Logistica e trasporto,Puglia,,https://www.consorziobrio.it
90,e-Pol S.r.l. a socio unico,70.572,6118,30363,E-commerce,Emilia-Romagna,,https://e-pol.it
91,T-Tex S.r.l.,69.925,3141,15410,"Prodotti farmaceutici, biotecnologie e scienze della vita",Piemonte,,https://t-tex.it
92,3J S.r.l.u.,69.541,612,2983,Media e telecomunicazioni,Sardegna,,https://www.3jsrl.it
93,Tecma solutions S.p.A.,68.94,2063,9948,IT e software,Lombardia,,https://tecmasolutions.com
94,Espresso Coffee Shop S.r.l.,67.635,1413,6655,E-commerce,Veneto,,https://www.espressocoffeeshop.com
95,IT Centric S.r.l.,67.309,1567,7339,IT e software,Campania,,https://itcentric.it
96,Manelli Impresa S.r.l.,66.938,15404,71663,Costruzione e ingegneria,Puglia,,https://www.manelli.eu
97,Voto Group S.r.l.,65.283,787,3553,Costruzione e ingegneria,Campania,,https://www.votogroup.it
98,HD casa S.r.l.,65.107,429,1932,E-commerce,Campania,,https://hdcasa.it
99,4k S.r.l. (Pharmap),65.081,759,3415,"Prodotti farmaceutici, biotecnologie e scienze della vita",Lombardia,,https://www.pharmap.it/
100,Studio Amica S.r.l.,64.697,607,2712,IT e software,Puglia,,https://studioamica.it
101,Chef in Camicia S.r.l.,63.878,741,3260,Pubblicità e marketing,Lombardia,,https://chefincamicia.com
102,M.K. Trading S.r.l.,63.823,1174,5164,Cibo e bevande,Campania,,https://mktrading.it
103,Erbagil S.r.l.,63.339,1719,7489,Prodotti chimici,Campania,,https://www.erbagil.com
104,Nanoprom Chemicals S.r.l.,63.215,631,2742,Prodotti chimici,Emilia-Romagna,,https://nanopromsrl.com
105,SVS S.r.l.,62.854,4224,18244,Costruzione e ingegneria,Lombardia,,https://svs-srl.com
106,Agenzia Chimica Italiana S.r.l.,62.597,4783,20561,Prodotti chimici,Veneto,,https://agenziachimicaitaliana.it
107,Gusti d'Italia S.r.l.,62.513,1472,6316,Cibo e bevande,Piemonte,,https://gustiditalia.com
108,uBroker S.r.l.,62.299,18016,77023,Energia e servizi pubblici,Piemonte,,https://ubroker.it
109,Xilia S.r.l. (Xilia Wood Experience),61.95,462,1963,Arredamento,Veneto,,https://www.xiliawood.com
110,Pirene S.r.l.,61.787,709,3004,Pubblicità e marketing,Lazio,,https://pirene.it
111,The Information Lab Italia S.r.l.,61.759,1531,6480,Consulenza gestionale,Piemonte,,https://www.theinformationlab.it
