RANK,COMPANY,GROWTH RATE,REVENUE 2021,REVENUE 2024,SECTOR,REGION,WEBSITE,CFO_NAME,CFO_ROLE,CFO_LINKEDIN,SOURCE,CONFIDENCE,SEARCH_DATE,CFO_ROLE_CATEGORY,CFO_FOUND,HAS_REAL_CFO
1,C.D.C. Chain Drive Crane S.r.l.,503.374,128,28063,Machinery and Equipment,Trentino-Alto Adige,https://cdc.company,,,,not_found,,2026-03-06,Not Found,false,false
2,ZAS Trading S.r.l.,304.483,153,10136,Wholesale Trade,Lombardia,https://www.signorbio.com,Simone Zanini,Supply Chain & Finance,https://www.linkedin.com/in/simone-zanini-419039a6/,agent,medium,2026-03-06,Finance Manager,true,true
3,Banca AideXa S.p.A.,264.541,604,29252,"Fintech, Financial Services and Insurance",Lombardia,https://www.aidexa.it,Andrea Correale,Chief Strategy & Financial Officer,https://www.linkedin.com/in/andreacorre/,agent,high,2026-03-06,CFO / DAF,true,true
4,InterMoma Food S.r.l.,218.937,556,18024,Food and Beverages,Liguria,https://www.intermoma.it,,,,not_found,,2026-03-06,Not Found,false,false
5,Lux Entertainment S.p.A.,193.038,3289,82760,"MICE (Meetings, Incentives, Conferences, Exhibitions)",Lazio,https://luxentertainment.com,Roberto Fantauzzi,CEO e Presidente,https://www.linkedin.com/in/robertofantauzzi/,agent,low,2026-03-06,Mixed Role,true,false
6,Itaste Medical Group S.r.l.,177.441,864,18445,"Pharmaceuticals, Biotechnology and Life Sciences",Campania,https://itastemedical.com,Natale Di Filippo,CEO - Owner,https://it.linkedin.com/in/natale-di-filippo-29929849,agent,low,2026-03-06,CEO / AD,true,false
7,Infisud S.r.l.,167.849,1732,33284,Construction and Engineering,Sicilia,https://www.infisud.it,Antonio Di Nuzzo,Amministratore,,agent,low,2026-03-06,Amministratore,true,false
8,Viaggigiovani.it S.r.l.,166.137,664,12519,Hospitality and Travel,Trentino-Alto Adige,https://www.viaggigiovani.it,Nicola Moltrer,Founder & Owner,https://it.linkedin.com/in/nicola-moltrer-87a69365,agent,low,2026-03-06,Founder / Owner,true,false
9,Outlane S.r.l. SB,161,202,3590,Leisure and Entertainment,Lombardia,https://freedome.it,Michele Mezzanzanica,Co-founder & Co-CEO,https://www.linkedin.com/in/michelemezzanzanica/,agent,low,2026-03-06,Mixed Role,true,false
10,Sagelio S.r.l. SB,157.631,211,3610,Energy and Utilities,Puglia,https://sagelio.com,Giancarlo Ostuni,Co-Founder e CEO,https://www.linkedin.com/in/giancarlostuni/,agent,low,2026-03-06,Mixed Role,true,false
11,BizAway S.r.l. SB,142.856,8108,116128,Hospitality and Travel,Friuli-Venezia Giulia,https://bizaway.com,Luis Vázquez Espiga,Chief Financial Officer,https://www.linkedin.com/in/luis-vazquez-espiga-71266a21/,agent,high,2026-03-06,CFO / DAF,true,true
12,Vanbat S.r.l.,137.588,1048,14049,Waste Management & Recycling,Lazio,https://www.vanbat.it,Vanessa Ambrosetti,Amministratrice,,agent,low,2026-03-06,Amministratore,true,false
13,Billoo S.r.l. SB,136.246,141,1858,IT and Software,Emilia-Romagna,https://www.billoo.it,Giovanni Baroni,Presidente,https://www.linkedin.com/in/giovanni-baroni-8017a54/,agent,low,2026-03-06,Presidente,true,false
14,Logen S.r.l.,133.188,870,11029,Energy and Utilities,Lazio,https://www.logen.energy,,,,not_found,,2026-03-06,Not Found,false,false
15,U Lead S.r.l.,128.227,255,3030,Education and Training,Lazio,https://www.ateneionline.it,Matteo Monari,Founder & CEO,https://www.linkedin.com/in/matteomonari/,agent,low,2026-03-06,Mixed Role,true,false
16,Cosmico S.r.l.,122.733,1002,11075,Employment Services,Lombardia,https://www.wearecosmico.com,Pasquale Tuosto,CFO,,agent,high,2026-03-06,CFO / DAF,true,true
17,BusForFun.com S.r.l.,112.831,875,8439,Leisure and Entertainment,Veneto,https://www.busforfun.com,Luca Campanile,CEO & Co-Founder,https://www.linkedin.com/in/ing-luca-campanile/,agent,low,2026-03-06,Mixed Role,true,false
18,Ciglieri S.r.l.,110.358,277,2581,Management Consulting,Lazio,https://www.ciglieri.online,Alessandro Ciglieri,Amministratore Unico,https://it.linkedin.com/in/alessandro-ciglieri-50659558,agent,low,2026-03-06,Amministratore,true,false
19,Beentouch S.r.l.,106.888,389,3443,IT and Software,Sicilia,https://beentouch.com,Danilo Mirabile,Founder & CEO,https://www.linkedin.com/in/danilomirabile/,agent,low,2026-03-06,Mixed Role,true,false
20,Pixora S.r.l.,106.225,176,1541,IT and Software,Sicilia,https://www.pixora.it,Salvo Rosa,CEO e Co-Founder,https://www.linkedin.com/in/salvo-rosa-06677427/,agent,low,2026-03-06,Mixed Role,true,false
21,Fly4You S.r.l.,105.993,7668,67024,Hospitality and Travel,Lombardia,https://www.volonlinegroup.it,Luigi Deli,Fondatore e CEO,https://it.linkedin.com/in/luigi-deli-7416a546,agent,low,2026-03-06,Mixed Role,true,false
22,Customized S.r.l.,104.57,1316,11265,Hospitality and Travel,Veneto,https://www.target.travel,Daniele Panzarin,CEO / Managing Director,https://www.linkedin.com/in/danielepanzarin-targettravel/,agent,low,2026-03-06,CEO / AD,true,false
23,Tresun S.r.l.,102.735,2238,18652,Energy and Utilities,Sicilia,https://www.tresun.it,Massimo Alfredo Lauria,CEO - Amministratore Unico,https://www.linkedin.com/in/massimolauria/,agent,low,2026-03-06,CEO / AD,true,false
24,Tempraglass di Michele Loparco,102.437,572,4746,Industrial Manufacturing,Puglia,https://www.tempraglass.it,Michele Loparco,Titolare,https://www.linkedin.com/in/michele-loparco-0a462815a/,agent,low,2026-03-06,Founder / Owner,true,false
25,Kampaay S.r.l. SB,101.486,916,7494,"MICE (Meetings, Incentives, Conferences, Exhibitions)",Lombardia,https://www.kampaay.com,Marco Alba,CFO & Co-founder,https://it.linkedin.com/in/marco-alba-kampaay,agent,high,2026-03-06,Mixed Role,true,false
26,Coffinardi & Del Panno Industries S.r.l.,100.701,465,3758,Apparel and Fashion,Lombardia,https://floky.com,Marco Coffinardi,Founder & CEO,https://www.linkedin.com/in/marco-coffinardi-5a5250a7,agent,low,2026-03-06,Mixed Role,true,false
27,DMT Group S.r.l.,99.8519,820,6549,Energy and Utilities,Campania,https://www.dmtsolar.it,Domenico Di Lauro,General Manager (Direttore Generale),https://www.linkedin.com/in/domenico-di-lauro-583b11274/,agent,low,2026-03-06,General Manager,true,false
28,B&T Management S.r.l. SB,97.4126,2634,20265,Hospitality and Travel,Sicilia,https://www.mutika.it,Fabio Adamo,"Finance Manager - Administration, Finance & Control",https://www.linkedin.com/in/fabio-adamo-b17688b6/,agent,medium,2026-03-06,Finance Manager,true,true
29,Italia Rimborso S.r.l.,95.4204,306,2287,"Professional, Scientific and Technical Services",Sicilia,https://www.italiarimborso.it,Felice D'Angelo,CEO e Fondatore,,agent,low,2026-03-06,Mixed Role,true,false
30,Epil Point Italia S.r.l.,95.1866,1419,10552,Retail,Campania,https://http://www.epilpoint.it,Fabio Formisano,Fondatore e Amministratore Unico,https://www.linkedin.com/in/fabioformisano/,agent,low,2026-03-06,Founder / Owner,true,false
31,iLStudio Engineering & Consulting Studio S.r.l.,94.5545,633,4662,"Professional, Scientific and Technical Services",Puglia,https://www.studioseverini.eu,Luigi Severini,Presidente,https://it.linkedin.com/in/ing-luigi-severini-151bb124,agent,low,2026-03-06,Presidente,true,false
32,Prime Agency S.r.l.,94.3898,232,1705,IT and Software,Puglia,https://www.algomera.it,Federica Spagnulo,Amministratore Delegato,https://www.linkedin.com/in/federica-spagnulo-9a1403197/,agent,low,2026-03-06,CEO / AD,true,false
33,Deposito S.r.l.,91.6754,238,1678,Advertising and Marketing,Abruzzo,https://www.meccanismi.net,Romano Vallese,Fondatore,,agent,low,2026-03-06,Founder / Owner,true,false
34,Time Vision S.r.l.,90.8441,434,3019,Education and Training,Campania,https://timevisionsrl.it,Daniela Sabatino,Presidente,https://it.linkedin.com/in/danielasabatino,agent,low,2026-03-06,Presidente,true,false
35,AssiBro S.r.l.,90.4288,375,2592,"Fintech, Financial Services and Insurance",Friuli-Venezia Giulia,https://www.assibro.it,Enrico Perlin,CEO,https://www.linkedin.com/in/enrico-perlin-6098a3a9/,agent,low,2026-03-06,CEO / AD,true,false
36,Parkforfun.com S.r.l.,87.0841,464,3039,IT and Software,Veneto,https://www.parkforfun.com,Davide Buscato,Co-Founder & Sales Manager,https://www.linkedin.com/in/davidebuscato/,agent,low,2026-03-06,Founder / Owner,true,false
37,Foorban S.r.l.,86.4006,1341,8686,Food and Beverages,Lombardia,https://www.foorban.com,Edera Jakici,Admin&Accountant Specialist,https://www.linkedin.com/in/edera-jakici-aa3b105b/,agent,medium,2026-03-06,Finance Manager,true,true
38,U.G.A. Nutraceuticals S.r.l.,84.1985,8437,52728,"Pharmaceuticals, Biotechnology and Life Sciences",Umbria,https://uganutraceuticals.com,Francesco Galbiati,Responsabile Amministrativo E Finanziario,https://www.linkedin.com/in/francesco-galbiati-20073721,agent,medium,2026-03-06,Finance Manager,true,true
39,Lean Wire S.r.l.,82.6036,1321,8041,Construction and Engineering,Lombardia,https://www.leanwire.net,Jacopo Barzago,CFO,https://it.linkedin.com/in/barzago/en,agent,high,2026-03-06,CFO / DAF,true,true
40,Salabam S.r.l.,80.8323,4914,29060,Hospitality and Travel,Emilia-Romagna,https://salabamsolutions.com,Simone Prioli,CFO,https://www.linkedin.com/in/simone-prioli-39529813/,agent,high,2026-03-06,CFO / DAF,true,true
41,Corax S.r.l.,80.6973,992,5853,Advertising and Marketing,Lombardia,https://corax.business,Marco D'Andrea,Admin,https://www.linkedin.com/in/marco-d-andrea-0248ab259/,agent,medium,2026-03-06,Finance Manager,true,true
42,Airport Global Services S.r.l.,79.8618,5450,31713,Logistics and Transportation,Lombardia,https://www.agshandling.it,Gabriele Di Fiore,Amministrazione & Finance Control Manager,,agent,medium,2026-03-06,Finance Manager,true,true
43,Go4sea S.r.l.,77.9718,1782,10046,Hospitality and Travel,Puglia,https://www.go4sea.com,Antonello Frugis,Addetto contabilità ed amministrazione,https://www.linkedin.com/in/antonello-frugis-672461111/,agent,low,2026-03-06,Finance Manager,true,false
44,Rental Lake Como S.r.l.,76.7097,542,2993,Hospitality and Travel,Lombardia,https://rentallcomo.com,Simone Majeli,CEO & Founder,https://www.linkedin.com/in/simonemajeli/,agent,low,2026-03-06,Mixed Role,true,false
45,Percinque S.r.l.,74.5283,983,5228,Management Consulting,Veneto,https://percinque.com,Elisabetta Mainetti,CFO,https://www.linkedin.com/in/elisabetta-giuliana-mainetti-5b9b4514/,agent,high,2026-03-06,CFO / DAF,true,true
46,Soplaya S.p.A.,73.8948,2128,11192,E-commerce,Friuli-Venezia Giulia,https://soplaya.com,Mauro Germani,CEO & Co-Founder,https://www.linkedin.com/in/maurogermani/,agent,low,2026-03-06,Mixed Role,true,false
47,Xceed S.r.l.,73.6164,786,4111,"MICE (Meetings, Incentives, Conferences, Exhibitions)",Lombardia,https://www.xceed.me,Nikolai Price,Head of Finance,https://www.linkedin.com/in/nikolai-price-5b1955136/,agent,medium,2026-03-06,CFO / DAF,true,true
48,Heart Apartments S.r.l.,73.5162,1584,8273,Hospitality and Travel,Lombardia,https://heartmilanapartments.com,Silvia Bisa,Contabile,,agent,medium,2026-03-06,Finance Manager,true,true
49,Euro Impianti 20 S.r.l.,72.5412,1656,8509,Construction and Engineering,Sicilia,n/a,,,,not_found,,2026-03-06,Not Found,false,false
50,A.G. Training S.r.l.,72.0086,624,3174,Education and Training,Lazio,https://www.agtraining.eu,Alessandra Lombardi,CEO & Co-founder,https://it.linkedin.com/in/alessandra-lombardi-493022150,agent,low,2026-03-06,Mixed Role,true,false
51,You Know! S.r.l. Unipersonale,69.7186,1249,6104,Hospitality and Travel,Campania,https://www.youknowboat.com,Enrico Manzi,Founder & CEO,,agent,low,2026-03-06,Mixed Role,true,false
52,Online Platform for Shops S.r.l.,68.7107,955,4586,E-commerce,Abruzzo,https://3pwcommerce.com,Fernando De Panfilis,Amministratore Unico,https://www.linkedin.com/in/fernando-de-panfilis-28790b50/,agent,low,2026-03-06,Amministratore,true,false
53,CF Car Autonoleggio e Servizi S.r.l.,68.4429,1219,5827,Automotive and Related Services,Puglia,https://www.filorent.it/#,Maurizio Filoni,Amministratore Unico,https://www.linkedin.com/in/maurizio-filoni-25714a5a,agent,low,2026-03-06,Amministratore,true,false
54,Dpway S.r.l.,67.3547,404,1892,IT and Software,Lazio,https://www.dpway.it,Roberto Di Palma,CEO & Founder,https://it.linkedin.com/in/robertodipalma,agent,low,2026-03-06,Mixed Role,true,false
55,Epic Education S.r.l.,67.2505,1188,5558,Education and Training,Lazio,https://epicode.com,Alessandro Trusiani,CFO & COO,https://www.linkedin.com/in/alessandrotrusiani/,agent,high,2026-03-06,CFO / DAF,true,true
56,Oenergy S.p.A.,66.7747,19171,88925,Energy and Utilities,Lazio,https://www.oenergy.it,Roberta Lilli,Advisor and Head of Accounting,,agent,medium,2026-03-06,Finance Manager,true,true
57,EngUp S.r.l.,66.5811,526,2431,Construction and Engineering,Lombardia,https://www.engup.com,Davide Oglialoro,Socio Fondatore (responsabile parte amministrativa),https://www.linkedin.com/in/davideoglialoro/,agent,low,2026-03-06,Finance Manager,true,false
58,Dm Tech & Services S.r.l.,66.4851,715,3299,Retail,Lazio,https://www.dmtechandservices.it,Mimmo Dentamare,Amministratore,https://www.linkedin.com/in/mimmo-dentamare-8ab78478/,agent,low,2026-03-06,Amministratore,true,false
59,Netx64 S.r.l.,66.3617,954,4391,IT and Software,Veneto,https://www.netx64.com,Diego Dalla Riva,Presidente del Consiglio di Amministrazione,,agent,low,2026-03-06,Presidente,true,false
60,Brand S.r.l.,65.8081,1174,5352,Construction and Engineering,Toscana,https://www.brand-srl.it,Edoardo Rosa,Direttore amministrativo,https://it.linkedin.com/in/edoardo-rosa-38953a88,agent,medium,2026-03-06,Finance Manager,true,true
