RANK,COMPANY,CAGR_PCT,HEADQUARTERS,CATEGORY,REVENUE_2023_EUR,REVENUE_2020_EUR,EMPLOYEES_2023,EMPLOYEES_2020,FOUNDING_YEAR
1,Menlo Electric,830.8,Poland,Energy & Utilities,150670601,186848,149,8,2020
2,Allica,652,United Kingdom of Great Britain and Northern Ireland,"Fintech, Financial Services & Insurance",100125351,228102,502,142,2019
3,Almedia,473.6,Germany,Advertising & Marketing,29440571,155991,24,1,2020
4,Olla Home Solution,442.7,Italy,Construction & Engineering,89632718,560677,12,1,2020
5,Raya,409.3,Italy,Wholesale,146456719,1108961,2,2,2020
6,Alpha General Contractor,349.2,Italy,Construction & Engineering,59657294,658258,114,3,2019
7,dieseo,348.1,Germany,Ecommerce,10806130,120129,29,5,2020
8,Kempower,343.5,Finland,Electrical Manufacturing,283600000,3252000,737,38,2017
9,Cykero,341.8,Germany,Waste management & recycling,12500000,145000,12,1,2020
10,Viridis Group,334.1,Italy,Construction & Engineering,18515952,226304,40,10,2015
11,Zilch,327.2,United Kingdom of Great Britain and Northern Ireland,"Fintech, Financial Services & Insurance",65900278,819020,239,34,2018
12,Chip,325.1,United Kingdom of Great Britain and Northern Ireland,"Fintech, Financial Services & Insurance",17419664,219673,114,58,2016
13,A1 Solar,313.2,Hungary,Energy & Utilities,10251970,153609,20,1,2019
14,Pixii,306.6,Norway,Energy & Utilities,62756986,1008278,124,33,2018
15,Kleidi,300.9,France,Construction & Engineering,16825366,261118,9,3,2019
16,Raylyst Solar,293.7,Czechia,Wholesale,90825137,1401112,27,2,2018
17,Venticento,290.9,Italy,Advertising & Marketing,6414664,107390,14,10,2020
18,SourceWhale,279.7,United Kingdom of Great Britain and Northern Ireland,IT & Software,7751011,137180,70,4,2019
19,Jackson Remediation,279.4,United Kingdom of Great Britain and Northern Ireland,Construction & Engineering,8828227,156575,7,4,2019
20,Envidev Consulting,279.3,Italy,"Professional, Scientific & Technical Services",9549646,175000,1,1,2020
21,Pecci,275.9,Italy,Construction & Engineering,85330451,1606566,76,16,2011
22,RideTandem,267.5,United Kingdom of Great Britain and Northern Ireland,Logistics & Transportation,7169616,139983,40,6,2019
23,BFY Group,266.2,United Kingdom of Great Britain and Northern Ireland,Management consulting,9547957,188274,38,11,2004
24,Just Russel,257.9,Belgium,Ecommerce,8908507,194373,29,2,2020
25,Pace,257.6,United Kingdom of Great Britain and Northern Ireland,Management consulting,9975736,211269,46,3,2020
26,Switcho,252.1,Italy,"Fintech, Financial Services & Insurance",6009454,137683,77,9,2019
27,WithU,245.8,United Kingdom of Great Britain and Northern Ireland,Leisure & Entertainment,6361628,148992,67,6,2019
28,Jeff,237.5,Latvia,"Fintech, Financial Services & Insurance",6641553,155982,30,7,2020
29,BizAway,237.1,Italy,Hospitality & Travel,72218580,1885630,237,47,2015
30,Pier Currà Architettura,236.9,Italy,"Professional, Scientific & Technical Services",4933717,128983,26,13,2017
31,Aria,234.6,France,"Fintech, Financial Services & Insurance",6132960,163651,32,5,2018
32,Kid-A,227.7,United Kingdom of Great Britain and Northern Ireland,Media & Telecommunications,5409255,148961,14,3,2019
33,Pathos Communications,222,United Kingdom of Great Britain and Northern Ireland,Advertising & Marketing,6570081,190577,50,1,2019
34,SC Media House,221.1,Germany,Advertising & Marketing,4092383,123568,15,2,2020
35,Eva Consulting,220,Italy,Management consulting,4108345,125426,23,6,2017
36,Simmer Eats,219.5,United Kingdom of Great Britain and Northern Ireland,Food & Beverages,5074861,150720,15,1,2018
37,Fairfamily Group,219.4,Germany,Management consulting,7837037,240473,43,5,2019
38,Elgin White Limited,217.6,United Kingdom of Great Britain and Northern Ireland,Management consulting,11713639,354368,8,2,2006
39,Energie de Loire (EDL),217,France,Energy & Utilities,38023995,1193962,64,5,2018
40,Strelec Gruppe,216.9,Germany,Electrical Manufacturing,11891367,373711,13,1,2018
41,Spotlag,215.6,France,"Professional, Scientific & Technical Services",3919567,124633,25,3,2019
42,KCS C&C,214.3,United Kingdom of Great Britain and Northern Ireland,Food & Beverages,27889623,870030,21,5,2020
43,Oxford Summer Courses,212.8,United Kingdom of Great Britain and Northern Ireland,Education & Social Services,13245082,419294,25,29,2012
44,NLIST,208.2,"Netherlands, Kingdom of the",Employment Services,10209062,348810,10,2,2018
45,Daintta,207.5,United Kingdom of Great Britain and Northern Ireland,IT & Software,6940088,231265,41,4,2019
46,Target Travel,206.9,Italy,Hospitality & Travel,12113678,419271,21,13,1985
47,Konversational,206.8,Ireland,IT & Software,4584257,158805,37,6,2020
48,Wallester,206.5,Estonia,"Fintech, Financial Services & Insurance",9140000,317380,126,3,2016
49,Imprendiroma,204.5,Italy,Construction & Engineering,113724639,4028192,42,14,2008
50,PureXtracts,204.4,United Kingdom of Great Britain and Northern Ireland,Ecommerce,2995433,102912,5,2,2005
51,Vagabondo Viaggi,203.9,Italy,Hospitality & Travel,4695705,167304,13,6,2010
52,Veesion,203.4,France,IT & Software,5616692,201134,100,9,2018
53,Busforfun.com,201.7,Italy,Leisure & Entertainment,6723302,244891,30,6,2015
54,Sinergies,201.4,Italy,Energy & Utilities,14114960,515625,4,1,2013
55,Internet Up,200.5,Germany,Ecommerce,13347927,491667,26,2,2020
56,Tecnogreen,199.5,Italy,Energy & Utilities,3429282,127616,14,1,2020
57,Ticketsms,199.4,Italy,IT & Software,6802484,253341,26,7,2017
58,Glow25,199,Germany,Ecommerce,82786067,3098406,85,12,2017
59,Townhouse Group Limited,198.1,United Kingdom of Great Britain and Northern Ireland,Health Care & Life Sciences,7637556,279210,453,36,2020
60,Walr,197.9,United Kingdom of Great Britain and Northern Ireland,"Professional, Scientific & Technical Services",13056503,478246,40,2,2020
61,Nameless Festival,197.5,Italy,Leisure & Entertainment,6267275,238139,7,1,2015
62,Padel Horizon & Wave in Paris,196.9,France,Leisure & Entertainment,3039491,116175,26,12,2014
63,Candidate Flow,195.2,Germany,Advertising & Marketing,10288107,400114,26,6,2020
64,Creation,192.3,United Kingdom of Great Britain and Northern Ireland,Advertising & Marketing,13428814,520783,49,2,2017
65,Energetica Store,191.8,Italy,Energy & Utilities,3484508,140222,2,1,2009
66,Capitole Energie,191.7,France,Management consulting,18748685,755170,21,5,2017
67,Woltair,191.2,Czechia,Energy & Utilities,51579064,1965099,320,38,2018
68,CAMS Servizi Edili,190.5,Italy,Construction & Engineering,34667108,1413575,49,6,2018
69,Epicode,189.2,Italy,Education & Social Services,4983000,206000,15,1,2020
70,Winkler Personalservice,188.1,Germany,Employment Services,11500000,481000,300,20,2020
71,DAC.digital,186.7,Poland,IT & Software,7791742,314711,109,26,2016
72,BSport,185.5,France,IT & Software,4053089,174166,70,12,2018
73,Solidstudio,184.9,Poland,IT & Software,3339139,137410,43,6,2017
74,Kaizzen,184.6,France,IT & Software,3956223,171609,19,2,2019
75,Parama,184,Italy,Ecommerce,5496380,239848,9,5,2020
76,Aqualy,183.5,Italy,Food & Beverages,6208641,272399,15,5,2019
77,Ancient + Brave,183.4,United Kingdom of Great Britain and Northern Ireland,Health Care & Life Sciences,11762224,500574,29,3,2018
78,Lifeaz,181.9,France,Wholesale,4448058,198640,33,19,2015
79,Euro Impianti 20,180.5,Italy,Construction & Engineering,7257089,328903,93,11,2020
80,Koll Facility Management & Projektabwicklung,179.7,Germany,Construction & Engineering,7914834,361866,4,2,2011
81,Kicket.com,179,Poland,Leisure & Entertainment,4469652,195749,10,8,2015
82,Finanza.tech,177.6,Italy,"Fintech, Financial Services & Insurance",9986549,466612,39,17,2012
83,Skinport,177.1,Germany,IT & Software,19498648,916668,11,1,2018
84,WeDiscover,176.7,United Kingdom of Great Britain and Northern Ireland,Advertising & Marketing,2551307,116660,25,3,2020
